"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
"FJ DORAN FJD, 1987, ","FJ DORAN FJD;JE THRESHER JET","PREDICTION OF THE FATE OF CHROMIUM FROM A PROPOSED MUNICIPAL SANITARY LANDFILL","PROCEEDINGS OF THE NWWA CONFERENCE ON SOLVING ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,1987,"ISI",NA,"none",NA,NA,"FJ DORAN FJD, 1987, ","FJ DORAN FJD, 1987, "
"GS LEMASTERS GSLM, 1989, ","GS LEMASTERS GSLM;DJ DOYLE DJD","GRADE A DAIRY FARM WELL WATER QUALITY SURVEY",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPT. OF AGRICULTURE ",NA,1989,"ISI",NA,"none",NA,NA,"GS LEMASTERS GSLM, 1989, ","GS LEMASTERS GSLM, 1989, "
"MB GOTKOWITZ MBG, 2005, ","MB GOTKOWITZ MBG;KK ZEILER KKZ;","HYDROGEOLOGY AND SIMULATION OF GROUNDWATER FLOW IN SAUK COUNTY, WISCONSIN","WISCONSIN ","PDF","ARTICLE",NA,NA,NA,NA,"COUNTIES.EXTENSION.WISC.EDU",NA,2005,"ISI",NA,"none",NA,NA,"MB GOTKOWITZ MBG, 2005, ","MB GOTKOWITZ MBG, 2005, "
"MB GOTKOWITZ MBG, 2008, ","MB GOTKOWITZ MBG;DJ HART DJH;C DUNNING CD","GROUNDWATER SUSTAINABILITY IN A HUMID CLIMATE: GROUNDWATER PUMPING, GROUNDWATER CONSUMPTION, AND LAND-USE CHANGE",NA,"BOOK","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2008,"ISI",NA,"none",NA,NA,"MB GOTKOWITZ MBG, 2008, ","MB GOTKOWITZ MBG, 2008, "
"L MARKHAM LM, 2005, ","L MARKHAM LM;CC TANG CCT;B WEBSTER BW;C DUNNING CD","DEVELOPMENT OF TOOLS TO ADDRESS GROUNDWATER IN COMPREHENSIVE PLANNING",NA,"BOOK","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2005,"ISI",NA,"none",NA,NA,"L MARKHAM LM, 2005, ","L MARKHAM LM, 2005, "
"T PORTLE TP, 1995, ","T PORTLE TP;D JAMIE DJ","GROUNDWATER QUALITY IMPACTS FROM THE STORAGE OF SLUDGE AND SEPTAGE",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1995,"ISI",NA,"none",NA,NA,"T PORTLE TP, 1995, ","T PORTLE TP, 1995, "
"TT EATON TTE, 2007, -a","TT EATON TTE;MP ANDERSON MPA;KR BRADBURY KRB","FRACTURE CONTROL OF GROUND WATER FLOW AND WATER CHEMISTRY IN A ROCK AQUITARD","GROUNDWATER",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2007,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2007, ","TT EATON TTE, 2007, -a"
"TT EATON TTE, 2003, -a","TT EATON TTE;KR BRADBURY KRB","HYDRAULIC TRANSIENCE AND THE ROLE OF BEDDING FRACTURES IN A BEDROCK AQUITARD, SOUTHEASTERN WISCONSIN, USA","GEOPHYSICAL RESEARCH LETTERS",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2003,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2003, ","TT EATON TTE, 2003, -a"
"DT FEINSTEIN DTF, 2004, ","DT FEINSTEIN DTF;DJ HART DJH;TT EATON TTE;JT KROHELSKI JTK;","SIMULATION OF REGIONAL GROUNDWATER FLOW IN SOUTHEASTERN WISCONSIN",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN GEOLOGICAL AND NATURAL ",NA,2004,"ISI",NA,"none",NA,NA,"DT FEINSTEIN DTF, 2004, ","DT FEINSTEIN DTF, 2004, "
"DT FEINSTEIN DTF, 2005, ","DT FEINSTEIN DTF;DJ HART DJH;JT KROHELSKI JTK;TT EATON TTE;","SIMULATION OF REGIONAL GROUNDWATER FLOW IN SOUTHEASTERN WISCONSIN, REPORT 2MODEL RESULTS AND INTERPRETATION","SOUTHEASTERN WISCONSIN ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2005,"ISI",NA,"none",NA,NA,"DT FEINSTEIN DTF, 2005, ","DT FEINSTEIN DTF, 2005, "
"TT EATON TTE, 2000, -a-b","TT EATON TTE;DJ HART DJH;KR BRADBURY KRB;HF WANG HFW","HYDRAULIC CONDUCTIVITY AND SPECIFIC STORAGE OF THE MAQUOKETA SHALE",NA,"BOOK","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2000,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2000, ","TT EATON TTE, 2000, -a-b"
"TT EATON TTE, 1999, ","TT EATON TTE;KR BRADBURY KRB;TJ EVANS TJE","CHARACTERIZATION OF THE HYDROSTRATIGRAPHY OF THE DEEP SANDSTONE AQUIFER IN SOUTHEASTERN WISCONSIN",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1999,"ISI",NA,"none",NA,NA,"TT EATON TTE, 1999, ","TT EATON TTE, 1999, "
"TT EATON TTE, 1998, ","TT EATON TTE;KR BRADBURY KRB","EVALUATION OF THE CONFINING PROPERTIES OF THE MAQUOKETA FORMATION IN THE SEWRPC REGION OF SOUTHEASTERN WISCONSIN",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1998,"ISI",NA,"none",NA,NA,"TT EATON TTE, 1998, ","TT EATON TTE, 1998, "
"TT EATON TTE, 2001, ","TT EATON TTE;MP ANDERSON MPA;KR BRADBURY KRB","HETEROGENEITY IN GROUNDWATER FLOW MODELING, SIMULATING FRACTURES IN A REGIONAL AQUITARD","GEOLOGICAL SOCIETY OF AMERICA, 2001 ANNUAL ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2001,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2001, ","TT EATON TTE, 2001, "
"TT EATON TTE, 2004, -a","TT EATON TTE","DESATURATION AND FLOW DYNAMICS BENEATH AN AQUITARD NEAR EXCESSIVELY PUMPED WELLS","GEOLOGICAL SOCIETY OF AMERICA ABSTRACTS WITH PROGRAMS","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2004,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2004, ","TT EATON TTE, 2004, -a"
"TT EATON TTE, 2001, -a","TT EATON TTE"," OF A FRACTURE NETWORK WITHIN THE MAQUOKETA SHALE CONFINING UNIT, SOUTHEASTERN WISCONSIN: FINAL REPORT PREPARED FOR THE WISCONSIN DEPARTMENT OF NATURAL ",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,2001,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2001, ","TT EATON TTE, 2001, -a"
"TT EATON TTE, 2004, -a-b","TT EATON TTE;KR BRADBURY KRB","WHAT HAPPENS WHEN THE CONFINED CAMBRIAN-ORDOVICIAN AQUIFER IN SOUTHEASTERN WISCONSIN BEGINS TO BE"" DEWATERED""?",NA,"BOOK","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2004,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2004, ","TT EATON TTE, 2004, -a-b"
"TT EATON TTEATON, 2003, ","TT EATON TTEATON","CONCEPTUAL MODEL OF GROUNDWATER FLOW IN SEDIMENTARY AQUITARDS HAVING HIGH VERTICAL ANISOTROPY","2003 SEATTLE ANNUAL MEETING","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2003,"ISI",NA,"none",NA,NA,"TT EATON TTEATON, 2003, ","TT EATON TTEATON, 2003, "
"TT EATON TTE, NA, ","TT EATON TTE;DT FEINSTEIN DTF","REPRESENTING BEDROCK SUBCROP HYDROSTRATIGRAPHY IN A MULTI-LAYER MODFLOW GRID","RESEARCHGATE.NET","PDF","ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"TT EATON TTE, NA, ","TT EATON TTE, NA, "
"KR BRADBURY KRB, 1998, ","KR BRADBURY KRB;TT EATON TTE","PRELIMINARY MODEL DESIGN AND LITERATURE REVIEW FOR THE SANDSTONE AQUIFER SYSTEM IN SOUTHEASTERN WISCONSIN",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1998,"ISI",NA,"none",NA,NA,"KR BRADBURY KRB, 1998, ","KR BRADBURY KRB, 1998, "
"TT EATON TTE, 2000, -a-b-c","TT EATON TTE;DJ HART DJH;KR BRADBURY KRB;HF WANG HFW","APPENDIX B: HYDRAULIC CONDUCTIVITY AND SPECIFIC STORAGE OF THE MAQUOKETA SHALE",NA,"PDF","BOOK",NA,NA,NA,NA,"RESEARCHGATE.NET",NA,2000,"ISI",NA,"none",NA,NA,"TT EATON TTE, 2000, ","TT EATON TTE, 2000, -a-b-c"
"RS STELZER RSS, 2011, -a","RS STELZER RSS;DR DROVER DRD;SL EGGERT SLE;MA MULDOON MAM","NITRATE RETENTION IN A SAND PLAINS STREAM AND THE IMPORTANCE OF GROUNDWATER DISCHARGE","BIOGEOCHEMISTRY","HTML","ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2011,"ISI",NA,"none",NA,NA,"RS STELZER RSS, 2011, ","RS STELZER RSS, 2011, -a"
"SLEMA MULDOON SLEMAM, 2010, ","SLEMA MULDOON SLEMAM","NITRATE RETENTION IN A SAND PLAINS STREAM AND THE IMPORTANCE OF GROUNDWATER DISCHARGE",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,2010,"ISI",NA,"none",NA,NA,"SLEMA MULDOON SLEMAM, 2010, ","SLEMA MULDOON SLEMAM, 2010, "
", 2012, -a",";RS STELZER RSS;HG DRECKTRAH HGD;SL EGGERT SLE","SECONDARY PRODUCTION OF CHIRONOMIDAE IN A LARGE EUTROPHIC LAKE: IMPLICATIONS FOR LAKE STURGEON PRODUCTION","FRESHWATER",NA,"ARTICLE",NA,NA,NA,NA,"JOURNALS.UCHICAGO.EDU",NA,2012,"ISI",NA,"none",NA,NA,", 2012, ",", 2012, -a"
"JR LAWRENCE JRL, 1993, ","JR LAWRENCE JRL;M ELDAN ME;WC SONZOGNI WCS","METRIBUZIN AND METABOLITES IN WISCONSIN (USA) WELL WATER","WATER RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1993,"ISI",NA,"none",NA,NA,"JR LAWRENCE JRL, 1993, ","JR LAWRENCE JRL, 1993, "
"WC SONZOGNI WCS, 1992, ","WC SONZOGNI WCS;M ELDAN ME;JR LAWRENCE JRL","ANALYTICAL DETERMINATION OF PESTICIDE METABOLITES AND CARRIER CHEMICAL IN WISCONSIN WELLS",NA,NA,"BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,1992,"ISI",NA,"none",NA,NA,"WC SONZOGNI WCS, 1992, ","WC SONZOGNI WCS, 1992, "
"FS EVANGELISTA FSE, 2003, ","FS EVANGELISTA FSE;AM PELAYO AMP","F-TEST FOR NATURAL ATTENUATION IN GROUNDWATER: APPLICATION ON BENZENE",NA,"PDF","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2003,"ISI",NA,"none",NA,NA,"FS EVANGELISTA FSE, 2003, ","FS EVANGELISTA FSE, 2003, "
"CV EVANS CVE, 2003, ","CV EVANS CVE;Z LI ZL","REMOVAL OF HEAVY METALS AND RADIONUCLIDES FROM SOILS USING CATIONIC SURFACTANT FLUSHING",NA,"BOOK","BOOK",NA,NA,NA,NA,"CITESEER",NA,2003,"ISI",NA,"none",NA,NA,"CV EVANS CVE, 2003, ","CV EVANS CVE, 2003, "
"C WILLMS CW, 2004, ","C WILLMS CW;Z LI ZL;L ALLEN LA;CV EVANS CVE","DESORPTION OF CESIUM FROM KAOLINITE AND ILLITE USING ALKYLAMMONIUM SALTS","APPLIED CLAY SCIENCE","HTML","ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,2004,"ISI",NA,"none",NA,NA,"C WILLMS CW, 2004, ","C WILLMS CW, 2004, "
"WJ EVANS WJE, 1985, ","WJ EVANS WJE","HYDROGEOLOGICAL INVESTIGATION OF VOC CONTAMINATED PRIVATE WELLS NEAR HUDSON, WISCONSIN",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1985,"ISI",NA,"none",NA,NA,"WJ EVANS WJE, 1985, ","WJ EVANS WJE, 1985, "
"GR EYKHOLT GRE, 1998, -a","GR EYKHOLT GRE;DT DAVENPORT DTD","DECHLORINATION OF THE CHLOROACETANILIDE HERBICIDES ALACHLOR AND METOLACHLOR BY IRON METAL","ENVIRONMENTAL SCIENCE \& TECHNOLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,1998,"ISI",NA,"none",NA,NA,"GR EYKHOLT GRE, 1998, ","GR EYKHOLT GRE, 1998, -a"
"GR EYKHOLT GRE, 1999, ","GR EYKHOLT GRE;CR ELDER CRE;CH BENSON CHB","EFFECTS OF AQUIFER HETEROGENEITY AND REACTION MECHANISM UNCERTAINTY ON A REACTIVE BARRIER","JOURNAL OF HAZARDOUS MATERIALS",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1999,"ISI",NA,"none",NA,NA,"GR EYKHOLT GRE, 1999, ","GR EYKHOLT GRE, 1999, "
"T LEE TL, 2004, ","T LEE TL;CH BENSON CHB;GR EYKHOLT GRE","WASTE GREEN SANDS AS REACTIVE MEDIA FOR GROUNDWATER CONTAMINATED WITH TRICHLOROETHYLENE (TCE)","JOURNAL OF HAZARDOUS MATERIALS",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,2004,"ISI",NA,"none",NA,NA,"T LEE TL, 2004, ","T LEE TL, 2004, "
"CR ELDER CRE, 2002, ","CR ELDER CRE;CH BENSON CHB;","EFFECTS OF HETEROGENEITY ON INFLUENT AND EFFLUENT CONCENTRATIONS FROM HORIZONTAL PERMEABLE REACTIVE BARRIERS","WATER RESOURCES RESEARCH",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2002,"ISI",NA,"none",NA,NA,"CR ELDER CRE, 2002, ","CR ELDER CRE, 2002, "
"CR ELDER CRE, 1999, ","CR ELDER CRE;CH BENSON CHB;GR EYKHOLT GRE","MODELING MASS REMOVAL DURING IN SITU AIR SPARGING","JOURNAL OF GEOTECHNICAL AND ",NA,"ARTICLE",NA,NA,NA,NA,"ASCELIBRARY.ORG",NA,1999,"ISI",NA,"none",NA,NA,"CR ELDER CRE, 1999, ","CR ELDER CRE, 1999, "
"GR EYKHOLT GRE, 1997, ","GR EYKHOLT GRE","UNCERTAINTY-BASED SCALING OF IRON REACTIVE BARRIERS",NA,NA,"BOOK",NA,NA,NA,NA,"OSTI.GOV",NA,1997,"ISI",NA,"none",NA,NA,"GR EYKHOLT GRE, 1997, ","GR EYKHOLT GRE, 1997, "
"GR EYKHOLT GRE, 1995, ","GR EYKHOLT GRE;TM SIVAVEC TMS","CONTAMINANT TRANSPORT ISSUES FOR REACTIVE-PERMEABLE BARRIERS","GEOENVIRONMENT 2000: CHARACTERIZATION ","CITATION","ARTICLE",NA,NA,NA,NA,"CEDB.ASCE.ORG",NA,1995,"ISI",NA,"none",NA,NA,"GR EYKHOLT GRE, 1995, ","GR EYKHOLT GRE, 1995, "
"PD MACKENZIE PDMK, 1995, ","PD MACKENZIE PDMK;SS BAGHEL SSB;GR EYKHOLT GRE","PILOT-SCALE DEMONSTRATION OF CHLORINATED ETHENE REDUCTION BY IRON METAL: FACTORS AFFECTING IRON LIFETIME",NA,NA,"BOOK",NA,NA,NA,NA,"OSTI.GOV",NA,1995,"ISI",NA,"none",NA,NA,"PD MACKENZIE PDMK, 1995, ","PD MACKENZIE PDMK, 1995, "
"CH BENSON CHB, 2003, ","CH BENSON CHB;T LEE TL;G EYKHOLT GE","WASTE GREEN SANDS AS REACTIVE MEDIA FOR PRBS"," TECHNOLOGIES DEVELOPMENT FORUM ","PDF","ARTICLE",NA,NA,NA,NA,"RTDF.CLU-IN.ORG",NA,2003,"ISI",NA,"none",NA,NA,"CH BENSON CHB, 2003, ","CH BENSON CHB, 2003, "
"L LI LL, 2001, ","L LI LL;GR EYKHOLT GRE;CH BENSON CHB","GROUNDWATER MODELING, SEMI-ANALYTICAL APPROACHES FOR HETEROGENEITY AND REACTION NETWORKS",NA,"BOOK","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2001,"ISI",NA,"none",NA,NA,"L LI LL, 2001, ","L LI LL, 2001, "
"AL ROBERTS ALR, 1998, ","AL ROBERTS ALR;WA ARNOLD WAA;","ROLE OF ENVIRONMENTAL CHEMISTRY IN DESIGNING PERMEABLE BARRIERS FOR CONTAINMENT OF CHLORINATED ORGANIC SOLVENTS IN GROUNDWATER.","ABSTRACTS ","CITATION","ARTICLE",NA,NA,NA,NA," CHEMICAL SOC 1155 16TH ST, NW ",NA,1998,"ISI",NA,"none",NA,NA,"AL ROBERTS ALR, 1998, ","AL ROBERTS ALR, 1998, "
"G CHESTERS GC, 1989, -a-b","G CHESTERS GC;GV SIMSIMAN GVS;J LEVY JL;BJ ALHAJJAR BJA;","ENVIRONMENTAL FATE OF ALACHLOR AND METOLACHLOR","REVIEWS OF ",NA,"ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,1989,"ISI",NA,"none",NA,NA,"G CHESTERS GC, 1989, ","G CHESTERS GC, 1989, -a-b"
"RN FATHULLA RNF, 1989, ","RN FATHULLA RNF","FACTORS AFFECTING PERSISTENCE OF ALDICARB RESIDUES IN THE SAND-AND-GRAVEL AQUIFER OF CENTRAL WISCONSIN.",NA,NA,"BOOK",NA,NA,NA,NA,"ELIBRARY.RU",NA,1989,"ISI",NA,"none",NA,NA,"RN FATHULLA RNF, 1989, ","RN FATHULLA RNF, 1989, "
"MP ANDERSON MPA, NA, ","MP ANDERSON MPA;T BENNETT TB;P BERTEAU PB;CHENG C;","A CRYLONITRILE POLYMER, FDA BAN, 468-469 ADSORPTION DISADVANTAGES OF SIMPLISTIC MODELS, 6-7","ACS PUBLICATIONS",NA,"ARTICLE",NA,NA,NA,NA,NA,NA,NA,"ISI",NA,"none",NA,NA,"MP ANDERSON MPA, NA, ","MP ANDERSON MPA, NA, "
"G SVAVARSSON GS, 1995, ","G SVAVARSSON GS;P FAUBLE PF","INVESTIGATION OF GROUNDWATER IMPACTS AT CONSTRUCTION AND DEMOLITION WASTE LANDFILLS",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,1995,"ISI",NA,"none",NA,NA,"G SVAVARSSON GS, 1995, ","G SVAVARSSON GS, 1995, "
"RJ HUNT RJH, 2006, ","RJ HUNT RJH;DT FEINSTEIN DTF;CD PINT CDP;MP ANDERSON MPA","THE IMPORTANCE OF DIVERSE DATA TYPES TO CALIBRATE A WATERSHED MODEL OF THE TROUT LAKE BASIN, NORTHERN WISCONSIN, USA","JOURNAL OF HYDROLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,2006,"ISI",NA,"none",NA,NA,"RJ HUNT RJH, 2006, ","RJ HUNT RJH, 2006, "
"KR BRADBURY KRBRADBURY, 2005, ","KR BRADBURY KRBRADBURY;DJ HART DJHART;DT FEINSTEIN DTFEINSTEIN","CURRENT TRENDS IN GROUNDWATER USE IN SOUTHEASTERN WISCONSIN ARE NOT SUSTAINABLE",NA,"CITATION","MISC",NA,NA,NA,NA,NA,NA,2005,"ISI",NA,"none",NA,NA,"KR BRADBURY KRBRADBURY, 2005, ","KR BRADBURY KRBRADBURY, 2005, "
"T GRUNDL TG, 2006, ","T GRUNDL TG;K BRADBURY KB;D FEINSTEIN DF;S FRIERS SF;","A COMBINED HYDROLOGIC/GEOCHEMICAL INVESTIGATION OF GROUNDWATER CONDITIONS IN THE WAUKESHA COUNTY AREA, WI"," WISCONSIN GROUNDWATER ","PDF","ARTICLE",NA,NA,NA,NA,"ACADEMIA.EDU",NA,2006,"ISI",NA,"none",NA,NA,"T GRUNDL TG, 2006, ","T GRUNDL TG, 2006, "
"D HART DH, 2006, ","D HART DH;KR BRADBURY KRB;D FEINSTEIN DF;B TIKOFF BT","MECHANISMS OF GROUNDWATER FLOW ACROSS THE MAQUOKETA FORMATION",NA,"CITATION","BOOK",NA,NA,NA,NA,"WISCONSIN DEPARTMENT OF NATURAL ",NA,2006,"ISI",NA,"none",NA,NA,"D HART DH, 2006, ","D HART DH, 2006, "
"DJ HART DJHART, 2004, ","DJ HART DJHART;DT FEINSTEIN DTFEINSTEIN;JT KROHELSKI JTKROHELSKI","THE VALUE OF LONG-TERM MONITORING IN THE DEVELOPMENT OF GROUND-WATER-FLOW MODELS","2004 DENVER ANNUAL MEETING","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2004,"ISI",NA,"none",NA,NA,"DJ HART DJHART, 2004, ","DJ HART DJHART, 2004, "
"D FEINSTEIN DFEINSTEIN, 2009, ","D FEINSTEIN DFEINSTEIN","WATER AVAILABILITY IN THE LAKE MICHIGAN BASIN","GEOLOGICAL SOCIETY OF AMERICA ABSTRACTS WITH PROGRAMS,","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2009,"ISI",NA,"none",NA,NA,"D FEINSTEIN DFEINSTEIN, 2009, ","D FEINSTEIN DFEINSTEIN, 2009, "
"D FEINSTEIN DFEINSTEIN, 2007, ","D FEINSTEIN DFEINSTEIN;SM WESTENBROEK SMWESTENBROEK;RJ HUNT RJHUNT","RECHARGE AND REGIONAL GROUND-WATER MODELSTHREE COMMON PROBLEMS","2007 GSA DENVER ANNUAL MEETING","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2007,"ISI",NA,"none",NA,NA,"D FEINSTEIN DFEINSTEIN, 2007, ","D FEINSTEIN DFEINSTEIN, 2007, "
"RC WIETERSEN RCW, 1993, -a-b","RC WIETERSEN RCW;TC DANIEL TCD;","ATRAZINE, ALACHLOR, AND METOLACHLOR MOBILITY THROUGH TWO SANDY WISCONSIN SOILS","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1993,"ISI",NA,"none",NA,NA,"RC WIETERSEN RCW, 1993, ","RC WIETERSEN RCW, 1993, -a-b"
"KJ FERMANICH KJF, 1991, -a-b","KJ FERMANICH KJF;TC DANIEL TCD","PESTICIDE MOBILITY AND PERSISTENCE IN MICROLYSIMETER SOIL COLUMNS FROM A TILLED AND NO-TILLED PLOT","JOURNAL OF ENVIRONMENTAL QUALITY",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1991,"ISI",NA,"none",NA,NA,"KJ FERMANICH KJF, 1991, ","KJ FERMANICH KJF, 1991, -a-b"
"KJ FERMANICH KJF, 1996, ","KJ FERMANICH KJF;WL BLAND WLB;B LOWERY BL;","IRRIGATION AND TILLAGE EFFECTS ON ATRAZINE AND METABOLITE LEACHING FROM A SANDY SOIL","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1996,"ISI",NA,"none",NA,NA,"KJ FERMANICH KJF, 1996, ","KJ FERMANICH KJF, 1996, "
"KJ FERMANICH KJF, 1991, -a-b-c","KJ FERMANICH KJF;TC DANIEL TCD;","MICROLYSIMETER SOIL COLUMNS FOR EVALUATING PESTICIDE MOVEMENT THROUGH THE ROOT ZONE","JOURNAL OF ENVIRONMENTAL ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1991,"ISI",NA,"none",NA,NA,"KJ FERMANICH KJF, 1991, ","KJ FERMANICH KJF, 1991, -a-b-c"
"TJ SAUER TJS, 1990, ","TJ SAUER TJS;KJ FERMANICH KJF;","COMPARISON OF THE PESTICIDE ROOT ZONE MODEL SIMULATED AND MEASURED PESTICIDE MOBILITY UNDER TWO TILLAGE SYSTEMS","JOURNAL OF ENVIRONMENTAL ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1990,"ISI",NA,"none",NA,NA,"TJ SAUER TJS, 1990, ","TJ SAUER TJS, 1990, "
"B LOWERY BL, 1998, ","B LOWERY BL;RC HARTWIG RCH;DE STOLTENBERG DES;","GROUNDWATER QUALITY AND CROP-YIELD RESPONSES TO TILLAGE MANAGEMENT ON A SPARTA SAND","SOIL AND TILLAGE ",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1998,"ISI",NA,"none",NA,NA,"B LOWERY BL, 1998, ","B LOWERY BL, 1998, "
"GL HART GLH, 1994, ","GL HART GLH;B LOWERY BL;K MCSWEENEY KMS;KJ FERMANICH KJF","IN SITU CHARACTERIZATION OF HYDROLOGIC PROPERTIES OF SPARTA SAND: RELATION TO SOLUTE MOVEMENT","GEODERMA",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1994,"ISI",NA,"none",NA,NA,"GL HART GLH, 1994, ","GL HART GLH, 1994, "
"RC WIETERSEN RCW, 1993, -a-b-c","RC WIETERSEN RCW;TC DANIEL TCD;","IRRIGATION AND POLYMER EFFECTS ON HERBICIDE TRANSPORT THROUGH THE UNSATURATED ZONE OF A SPARTA SAND","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"DL.SCIENCESOCIETIES.ORG",NA,1993,"ISI",NA,"none",NA,NA,"RC WIETERSEN RCW, 1993, ","RC WIETERSEN RCW, 1993, -a-b-c"
"PW DOLAN PWD, 1993, ","PW DOLAN PWD;B LOWERY BL;KJ FERMANICH KJF;NC WOLLENHAUPT NCW;","NITROGEN PLACEMENT AND LEACHING IN A RIDGE-TILLAGE SYSTEM",NA,"CITATION","BOOK",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1993,"ISI",NA,"none",NA,NA,"PW DOLAN PWD, 1993, ","PW DOLAN PWD, 1993, "
"TJ RANDERSON TJR, 2005, ","TJ RANDERSON TJR;JC FINK JCF;KJ FERMANICH KJF;P BAUMGART PB;","TOTAL SUSPENDED SOLIDS-TURBIDITY CORRELATION IN NORTHEASTERN WISCONSIN STREAMS"," MONITORING PROGRAM, AWRA ","CITATION","ARTICLE",NA,NA,NA,NA,NA,NA,2005,"ISI",NA,"none",NA,NA,"TJ RANDERSON TJR, 2005, ","TJ RANDERSON TJR, 2005, "
"AC BAUER ACB, 2013, ","AC BAUER ACB;S WINGERT SW;KJ FERMANICH KJF;","WELL WATER IN KARST REGIONS OF NORTHEASTERN WISCONSIN CONTAINS ESTROGENIC FACTORS, NITRATE, AND BACTERIA","WATER ENVIRONMENT ",NA,"ARTICLE",NA,NA,NA,NA,"INGENTACONNECT.COM",NA,2013,"ISI",NA,"none",NA,NA,"AC BAUER ACB, 2013, ","AC BAUER ACB, 2013, "
"B LOWERY BL, 1993, ","B LOWERY BL;KJ FERMANICH KJF;K MCSWEENEY KMS;TC DANIEL TCD","HERBICIDE AND NITRATE MOVEMENT IN A SANDY SOIL UNDER THREE TILLAGE SYSTEMS",NA,"CITATION","BOOK",NA,NA,NA,NA,"AGRIS.FAO.ORG",NA,1993,"ISI",NA,"none",NA,NA,"B LOWERY BL, 1993, ","B LOWERY BL, 1993, "
